molecule_chembl_id,canonical_smiles,standard_type,standard_relation,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,assay_type,target_chembl_id,target_pref_name,document_chembl_id,src_id,data_validity_comment,is_active,safety_category,target_common_name,activity_class,activity_class_label
CHEMBL2368925,O=C(O[C@@H]1C[C@@H]2C[C@H]3C[C@H](C1)N2CC3=O)c1c[nH]c2ccccc12,IC50,=,5950.0,nM,5.22,,CHEMBL691013,F,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1135758,1,,1,Cardiac Safety,hERG,2,potent
CHEMBL6966,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,IC50,=,143.0,nM,6.84,,CHEMBL691014,F,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1135758,1,,1,Cardiac Safety,hERG,2,potent
CHEMBL1107,CCCCN(CCCC)CCC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12,IC50,=,196.0,nM,6.71,,CHEMBL877203,F,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1135758,1,,1,Cardiac Safety,hERG,2,potent
CHEMBL998,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,IC50,=,173.0,nM,6.76,,CHEMBL691014,F,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1135758,1,,1,Cardiac Safety,hERG,2,potent
CHEMBL22359,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)c2ccc(F)c(F)c2)CC1,Ki,=,5900.0,nM,5.23,,CHEMBL768689,B,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1146708,1,,1,Cardiac Safety,hERG,2,potent
CHEMBL22679,N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](NC(=O)OCc2ccccc2)CC1,Ki,=,40000.0,nM,4.4,,CHEMBL768689,B,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1146708,1,,0,Cardiac Safety,hERG,1,less_potent
CHEMBL370805,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,IC50,=,4.4,nM,8.36,,CHEMBL822598,F,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1135758,1,,1,Cardiac Safety,hERG,2,potent
CHEMBL3084949,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)c2cccc3ccccc23)CC1,Ki,=,22000.0,nM,4.66,,CHEMBL768689,B,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1146708,1,,0,Cardiac Safety,hERG,1,less_potent
CHEMBL708,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,IC50,=,152.0,nM,6.82,,CHEMBL822598,F,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1135758,1,,1,Cardiac Safety,hERG,2,potent
CHEMBL472,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,IC50,=,74000.0,nM,4.13,,CHEMBL749472,F,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1135758,1,,0,Cardiac Safety,hERG,1,less_potent
CHEMBL45816,COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C,IC50,=,1430.0,nM,5.84,,CHEMBL656375,F,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1135758,1,,1,Cardiac Safety,hERG,2,potent
CHEMBL192,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,IC50,=,100000.0,nM,4.0,,CHEMBL691014,F,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1135758,1,,0,Cardiac Safety,hERG,1,less_potent
CHEMBL629,CN(C)CCC=C1c2ccccc2CCc2ccccc21,IC50,=,10000.0,nM,5.0,,CHEMBL822598,F,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1135758,1,,1,Cardiac Safety,hERG,2,potent
CHEMBL25437,N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(F)cc2F)CC1,Ki,=,35000.0,nM,4.46,,CHEMBL768689,B,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1146708,1,,0,Cardiac Safety,hERG,1,less_potent
CHEMBL1008,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,IC50,=,550.0,nM,6.26,,CHEMBL656604,F,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1135758,1,,1,Cardiac Safety,hERG,2,potent
CHEMBL473,CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,IC50,=,15.0,nM,7.82,,CHEMBL691014,F,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1135758,1,,1,Cardiac Safety,hERG,2,potent
CHEMBL296419,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,IC50,=,0.9,nM,9.05,,CHEMBL691013,F,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1135758,1,,1,Cardiac Safety,hERG,2,potent
CHEMBL54,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,IC50,=,28.1,nM,7.55,,CHEMBL691014,F,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1135758,1,,1,Cardiac Safety,hERG,2,potent
CHEMBL61301,Fc1ccc(Cn2c(NC3CCNCC3)nc3ccccc32)cc1,IC50,=,28.0,nM,7.55,,CHEMBL822598,F,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1135758,1,,1,Cardiac Safety,hERG,2,potent
CHEMBL17157,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,IC50,=,204.0,nM,6.69,,CHEMBL691014,F,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1135758,1,,1,Cardiac Safety,hERG,2,potent
CHEMBL289469,CN1C2CCCC1CC(NC(=O)c1nn(C)c3ccccc13)C2,IC50,=,3730.0,nM,5.43,,CHEMBL691014,F,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1135758,1,,1,Cardiac Safety,hERG,2,potent
CHEMBL75880,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,IC50,=,7800.0,nM,5.11,,CHEMBL822598,F,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1135758,1,,1,Cardiac Safety,hERG,2,potent
CHEMBL1423,O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,IC50,=,18.0,nM,7.75,,CHEMBL691014,F,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1135758,1,,1,Cardiac Safety,hERG,2,potent
CHEMBL42,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,IC50,=,191.0,nM,6.72,,CHEMBL822598,F,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1135758,1,,1,Cardiac Safety,hERG,2,potent
CHEMBL23979,N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(OC(F)(F)F)cc2)CC1,Ki,=,5700.0,nM,5.24,,CHEMBL768689,B,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1146708,1,,1,Cardiac Safety,hERG,2,potent
CHEMBL1729,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CCCOc2ccc(F)cc2)CC1OC,IC50,=,6.5,nM,8.19,,CHEMBL691014,F,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1135758,1,,1,Cardiac Safety,hERG,2,potent
CHEMBL914,CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,IC50,=,21570.0,nM,4.67,,CHEMBL691014,F,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1135758,1,,0,Cardiac Safety,hERG,1,less_potent
CHEMBL327980,Cc1cccc(CCN2CCC(C(=O)c3ccc(NS(C)(=O)=O)cc3)CC2)n1,IC50,=,7.7,nM,8.11,,CHEMBL691014,F,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1135758,1,,1,Cardiac Safety,hERG,2,potent
CHEMBL850,C[C@@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@H](C)N1,IC50,=,34400.0,nM,4.46,,CHEMBL875385,F,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1135758,1,,0,Cardiac Safety,hERG,1,less_potent
CHEMBL3084953,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)Nc2ccc(I)cc2)CC1,Ki,=,1900.0,nM,5.72,,CHEMBL768689,B,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1146708,1,,1,Cardiac Safety,hERG,2,potent
CHEMBL71,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,IC50,=,1470.0,nM,5.83,,CHEMBL662311,F,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1135758,1,,1,Cardiac Safety,hERG,2,potent
CHEMBL3084944,N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](NC(=O)c2cccc3ccccc23)CC1,Ki,=,17000.0,nM,4.77,,CHEMBL768689,B,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1146708,1,,0,Cardiac Safety,hERG,1,less_potent
CHEMBL219916,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,IC50,=,162.0,nM,6.79,,CHEMBL691014,F,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1135758,1,,1,Cardiac Safety,hERG,2,potent
CHEMBL23,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,IC50,=,17300.0,nM,4.76,,CHEMBL691014,F,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1135758,1,,0,Cardiac Safety,hERG,1,less_potent
CHEMBL85,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,IC50,=,163.0,nM,6.79,,CHEMBL822598,F,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1135758,1,,1,Cardiac Safety,hERG,2,potent
CHEMBL25211,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(OC(F)(F)F)cc2)CC1,Ki,=,2800.0,nM,5.55,,CHEMBL768689,B,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1146708,1,,1,Cardiac Safety,hERG,2,potent
CHEMBL94454,CN(c1nccc(=O)[nH]1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1,IC50,=,350.0,nM,6.46,,CHEMBL691014,F,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1135758,1,,1,Cardiac Safety,hERG,2,potent
CHEMBL123558,CN1CCN(CCCCN2C(=O)CN(/N=C/c3ccc(-c4ccc(Cl)cc4)o3)C2=O)CC1,IC50,=,560.0,nM,6.25,,CHEMBL662305,F,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1135758,1,,1,Cardiac Safety,hERG,2,potent
CHEMBL479,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,IC50,=,35.7,nM,7.45,,CHEMBL691014,F,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1135758,1,,1,Cardiac Safety,hERG,2,potent
CHEMBL11,CN(C)CCCN1c2ccccc2CCc2ccccc21,IC50,=,3400.0,nM,5.47,,CHEMBL662305,F,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1135758,1,,1,Cardiac Safety,hERG,2,potent
CHEMBL74355,COc1cccc([C@H](O)C2CCN(CCc3ccc(F)cc3)CC2)c1OC,Ki,=,1100.0,nM,5.96,,CHEMBL816205,B,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1135811,1,,1,Cardiac Safety,hERG,2,potent
CHEMBL150210,Fc1ccc(CCN2CCC3(CCc4ccccc4C3)CC2)c(F)c1,Ki,=,69.0,nM,7.16,,CHEMBL816205,B,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1135811,1,,1,Cardiac Safety,hERG,2,potent
CHEMBL150220,N#Cc1ccc(S(=O)(=O)C2CCN(CCc3ccc(F)cc3F)CC2)cc1,Ki,=,560.0,nM,6.25,,CHEMBL816205,B,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1135811,1,,1,Cardiac Safety,hERG,2,potent
CHEMBL78439,CC(C)(O)c1ccc(C(Cc2ccc[n+]([O-])c2)c2ccc(OC(F)F)c(OC3CC3)c2)cn1,Ki,=,42200.0,nM,4.38,,CHEMBL820996,B,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1145790,1,,0,Cardiac Safety,hERG,1,less_potent
CHEMBL310303,CC(C)(O)c1ncc(C(Cc2cc[n+]([O-])cc2)c2ccc(OC(F)F)c(OC3CCC3)c2)s1,Ki,=,58400.0,nM,4.23,,CHEMBL820996,B,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1145790,1,,0,Cardiac Safety,hERG,1,less_potent
CHEMBL2112296,[O-][n+]1ccc(CC(c2ccc(OC(F)F)c(OC3CC3)c2)c2cnc(C(O)(C(F)(F)F)C(F)(F)F)s2)cc1,Ki,=,21000.0,nM,4.68,,CHEMBL820996,B,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1145790,1,,0,Cardiac Safety,hERG,1,less_potent
CHEMBL145939,O=S(=O)(c1ccccc1)C1CCN(CCc2ccc(F)cc2F)CC1,Ki,=,1000.0,nM,6.0,,CHEMBL816205,B,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1135811,1,,1,Cardiac Safety,hERG,2,potent
CHEMBL504699,Fc1ccc2c([C@@H]3CNCC[C@H]3F)c(-c3ccccc3)[nH]c2c1,Ki,=,4000.0,nM,5.4,,CHEMBL816205,B,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1135811,1,,1,Cardiac Safety,hERG,2,potent
CHEMBL78806,CC(C)(O)c1ccc(C(Cc2cc[n+]([O-])cc2)c2ccc(OC(F)F)c(OC3CCC3)c2)cn1,Ki,=,25000.0,nM,4.6,,CHEMBL820996,B,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1145790,1,,0,Cardiac Safety,hERG,1,less_potent
CHEMBL276559,CC(C)(O)c1ccc(C(Cc2cc[n+]([O-])cc2)c2ccc(OC(F)F)c(OC3CC3)c2)cn1,Ki,=,26400.0,nM,4.58,,CHEMBL820996,B,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1145790,1,,0,Cardiac Safety,hERG,1,less_potent
CHEMBL148058,NC(=O)c1ccc(S(=O)(=O)C2CCN(CCc3ccc(F)cc3F)CC2)cc1,Ki,=,1300.0,nM,5.89,,CHEMBL816205,B,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1135811,1,,1,Cardiac Safety,hERG,2,potent
CHEMBL147048,N#Cc1cccc(S(=O)(=O)C2CCN(CCc3ccc(F)cc3F)CC2)c1,Ki,=,1900.0,nM,5.72,,CHEMBL816205,B,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1135811,1,,1,Cardiac Safety,hERG,2,potent
CHEMBL2112295,[O-][n+]1ccc(CC(c2ccc(OC(F)F)c(OC3CCC3)c2)c2cnc(C(O)(C(F)(F)F)C(F)(F)F)s2)cc1,Ki,=,38100.0,nM,4.42,,CHEMBL820996,B,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1145790,1,,0,Cardiac Safety,hERG,1,less_potent
CHEMBL146144,OC1c2ccccc2CCC12CCN(CCc1ccccc1)CC2,Ki,=,1200.0,nM,5.92,,CHEMBL816205,B,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1135811,1,,1,Cardiac Safety,hERG,2,potent
CHEMBL358075,O=S(=O)(c1ccc(F)cc1)C1CCN(CCc2ccc(F)cc2F)CC1,Ki,=,710.0,nM,6.15,,CHEMBL816205,B,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1135811,1,,1,Cardiac Safety,hERG,2,potent
CHEMBL83894,O=S1(=O)c2cccc3cccc(c23)N1CCCN1CCN(c2ccc(F)cc2)CC1,Ki,=,200.0,nM,6.7,,CHEMBL816205,B,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1135811,1,,1,Cardiac Safety,hERG,2,potent
CHEMBL61191,CC(O)(c1ccccc1)c1ccc(C(Cc2cc[n+]([O-])cc2)c2ccc(OC(F)F)c(OC(F)F)c2)cn1,Ki,=,1180.0,nM,5.93,,CHEMBL820996,B,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1145790,1,,1,Cardiac Safety,hERG,2,potent
CHEMBL81491,CC(C)(O)c1ccc(C(CC2=CCC(=O)N=C2)c2ccc(OC(F)F)c(OC3CC3)c2)cn1,Ki,=,55900.0,nM,4.25,,CHEMBL820996,B,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1145790,1,,0,Cardiac Safety,hERG,1,less_potent
CHEMBL383762,[O-][n+]1cccc(C[C@H](c2ccc(OC(F)F)c(OC3CC3)c2)c2cnc(C(O)(C(F)(F)F)C(F)(F)F)s2)c1,Ki,=,39000.0,nM,4.41,,CHEMBL820996,B,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1145790,1,,0,Cardiac Safety,hERG,1,less_potent
CHEMBL146595,O=S1(=O)c2ccccc2CCC12CCN(CCc1ccc(F)cc1F)CC2,Ki,=,570.0,nM,6.24,,CHEMBL816205,B,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1135811,1,,1,Cardiac Safety,hERG,2,potent
CHEMBL148565,O=S(=O)(c1ccccc1)C1CCN(CCCc2ccccc2)CC1,Ki,=,2500.0,nM,5.6,,CHEMBL816205,B,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1135811,1,,1,Cardiac Safety,hERG,2,potent
CHEMBL2112294,CC(C)(O)c1ccc(C(Cc2cc[n+]([O-])cc2)c2ccc(OC(F)F)c(OC3CCC3)c2)cc1,Ki,=,22400.0,nM,4.65,,CHEMBL820996,B,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1145790,1,,0,Cardiac Safety,hERG,1,less_potent
CHEMBL417776,CC(C)(O)c1ccc(C(Cc2cc[n+]([O-])cc2)c2ccc(OC(F)F)c(OC(F)F)c2)cn1,Ki,=,22700.0,nM,4.64,,CHEMBL820996,B,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1145790,1,,0,Cardiac Safety,hERG,1,less_potent
CHEMBL147431,Fc1ccc(CCN2CCC3(CCc4ccccc4O3)CC2)c(F)c1,Ki,=,110.0,nM,6.96,,CHEMBL816205,B,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1135811,1,,1,Cardiac Safety,hERG,2,potent
CHEMBL146620,O=C(CN1CCC(S(=O)(=O)c2ccccc2)CC1)c1ccc(F)cc1,Ki,=,6800.0,nM,5.17,,CHEMBL816205,B,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1135811,1,,1,Cardiac Safety,hERG,2,potent
CHEMBL146485,NC(=O)c1cccc(S(=O)(=O)C2CCN(CCc3ccc(F)cc3F)CC2)c1,Ki,=,7143.0,nM,5.15,,CHEMBL816205,B,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1135811,1,,1,Cardiac Safety,hERG,2,potent
CHEMBL199015,[O-][n+]1cccc(C[C@@H](c2ccc(OC(F)F)c(OC3CC3)c2)c2cnc(C(O)(C(F)(F)F)C(F)(F)F)s2)c1,Ki,=,61400.0,nM,4.21,,CHEMBL820996,B,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL1145790,1,,0,Cardiac Safety,hERG,1,less_potent
